Title,SKU,Sale_Price,Regular_Price,Availability,Link,Date
Manjushri: Guardian of Knowledge and Clarity,MSA 15,,,Sold Out,https://nidhiratna.com/products/manjushri-manjushree-bodhisattva-statue,2025-06-10
White Tara: The Compassionate Mother of Longevity and Healing,WTA 16,,,Sold Out,https://nidhiratna.com/products/white-tara-buddha-female,2025-06-10
The Power of Dzambhala: Invoking Wealth and Prosperity,18 DZA,,,Sold Out,https://nidhiratna.com/products/dzambhala-wealth-deity-kuber-statue,2025-06-10
Kshitigarbha Statue | Guardian of Souls,KGA 19,,,Sold Out,https://nidhiratna.com/products/kshitigarbha-gaurdian-of-sould-bodhisattva,2025-06-10
The Golden Buddhist Statue : Amitabha Buddha,ABA 21,$1143.00,$1270.00,Available,https://nidhiratna.com/products/amitabha-buddha-compassion-buddha,2025-06-10
Unlocking the Power of Vajrapani: Protector and Guide in Buddhist Tradition,20 VPA,$1512.00,$1680.00,Available,https://nidhiratna.com/products/vajrapani-deityofpower-bodhisattva,2025-06-10
Vajradhara: The Primordial Buddha of Tantric Buddhism,VDA 22,$859.50,$955.00,Available,https://nidhiratna.com/products/vajradhara-bodhisattva-staute-sculpture,2025-06-10
Kshitigarbha | Buddhist Bodhisattva Statue,23 KGA,$855.00,$950.00,Available,https://nidhiratna.com/products/kshitigarbha-bodhisattva-statue-sculpture,2025-06-10
Green Tara: The Compassionate Savior in Tibetan Buddhism,GTA 24,,,Sold Out,https://nidhiratna.com/products/green-tara-mothertara-tara-statue,2025-06-10
Vajrapani : The Symbolism and Significance of the Thunderbolt-Bearing,VPA 25,,,Sold Out,https://nidhiratna.com/products/symbolism-and-significance-of-the-thunderbolt,2025-06-10
Amitayus Buddha: Bestower of Long Life and Enlightenment,ATA 26,,,Sold Out,https://nidhiratna.com/products/26-amitayus-buddha-statue,2025-06-10
The Radiant Glory of Amitabha Buddha,27 ABA,$405.00,$450.00,Available,https://nidhiratna.com/products/27-amitabha-buddha-statue,2025-06-10
Empowerment through Vajrapani: Embodying Strength and Resilience in Buddhist Practice,28 VPA,,,Sold Out,https://nidhiratna.com/products/28-vajrapani-bodhisattva-statue,2025-06-10
Amitabha: The Shining Protector,29 ABA,$1075.50,$1195.00,Available,https://nidhiratna.com/products/amitabha-buddha-statue-amitabha,2025-06-10
Dukar Statue: Spiritual Strength,DKA 30,$805.50,$895.00,Available,https://nidhiratna.com/products/dukar-statue-spiritual-strength-statues,2025-06-10
"Buddha Sakyamuni Statue - Silver Plated Body, Gold Face, Handcrafted",31 BSA,,,Sold Out,https://nidhiratna.com/products/buddha-shakyamuni-sliver-plated-body,2025-06-10
Transcendence in Gold : The Buddha Sculpture Crafted in 24K Splendor,32 BSA,$373.50,$415.00,Available,https://nidhiratna.com/products/uddha-sculpture-crafted-in-24k-splendor-statue,2025-06-10
Green Tara: Syamatara Buddhist Sculpture,GTA 17,,,Sold Out,https://nidhiratna.com/products/green-tara-sayamatara-mothertara-statue,2025-06-10
Four-Armed Chenrezig Statue | 24K Gold Gilded and Oxidized Copper,33 CHA,,,Sold Out,https://nidhiratna.com/products/33-chenresig-four-armed-chenrezig-statue-sculpture,2025-06-10
Amitayus Buddha : The Luminous Buddha of Endless Life,34 ATA,,,Sold Out,https://nidhiratna.com/products/33-amitayus-buddha-statue,2025-06-10
Longchenpa | Longchen Rabjam Oxidized Copper Statue,35 LGA,,,Sold Out,https://nidhiratna.com/products/longchenpa-longchen-rabjam,2025-06-10
Buddha Shakyamuni | Tibetan Buddhist Statue,36 BSA,,,Sold Out,https://nidhiratna.com/products/36-buddha-shakyamuni-gautam-buddha-statue,2025-06-10
Amitabha: Light of Compassion and Wisdom,ABA 37,$1656.00,$1840.00,Available,https://nidhiratna.com/products/37-amitabha-buddha-wisdom-compassion-statue,2025-06-10
Enlightenment Under the Bodhi Tree : Sakyamuni Buddha,38 BSA,,,Sold Out,https://nidhiratna.com/products/enlightenment-sakyamuni-buddha-gautam-buddha-statue,2025-06-10
1000 Armed Chenrezig  Statue : Transformation and Liberation,39 CHA,$891.00,$990.00,Available,https://nidhiratna.com/products/1000-chenresig-statue-sculpture,2025-06-10
Chenrezig: Buddhist Avalokiteshvara Statue Glided with 24K Gold,40 CHR,,,Sold Out,https://nidhiratna.com/products/40-chenresig-avalokiteshvara-statue,2025-06-10
Manjushri: The Enlightened Sage,41 MSR,,,Sold Out,https://nidhiratna.com/products/41-manjushri-bodhisattva-statue,2025-06-10
Shakyamuni Buddha Statue | Glided with 24K Gold,42 BSR,$1395.00,$1550.00,Available,https://nidhiratna.com/products/42-buddha-shakyamuni-gautama-buddha-statue,2025-06-10
Vajrasattva : The Deity of Purification,43 VSR,,,Sold Out,https://nidhiratna.com/products/43-vajrasattva-bodhisattva-statue,2025-06-10
Golden Enlightenment: The Buddha in 24K Gold,44 BSR,,,Sold Out,https://nidhiratna.com/products/44-shakyamuni-gautama-buddha-statue,2025-06-10
Vajrasattva : The Purification and Restoration of Vows,45 VSR,,,Sold Out,https://nidhiratna.com/products/vajrasattva-deity-of-purification-statue-dorje-sempa,2025-06-10
Beautiful Handcrafted Buddha Sakyamuni Statue,46 BSR,$1017.00,$1130.00,Available,https://nidhiratna.com/products/buddha-shakyamuni-buddha-statue,2025-06-10
Amitabha Buddha : The Infinite Shining One,ABR 47,$1017.00,$1130.00,Available,https://nidhiratna.com/products/47-amitabha-buddha-statue-buddhist-statue,2025-06-10
Siddhartha Gautama Statue | Beautiful Handcrafted Buddhist Statue,48 BSR,$1206.00,$1340.00,Available,https://nidhiratna.com/products/handcrafted-buddhist-statue-siddhartha-gautama,2025-06-10
