Title,SKU,Sale_Price,Regular_Price,Availability,Link,Date
Chenrezig: Buddhist Avalokiteshvara Statue Glided with 24K Gold,40 CHR,,,Sold Out,https://nidhiratna.com/products/40-chenresig-avalokiteshvara-statue,2025-06-06
Manjushri: The Enlightened Sage,41 MSR,,,Sold Out,https://nidhiratna.com/products/41-manjushri-bodhisattva-statue,2025-06-06
Shakyamuni Buddha Statue | Glided with 24K Gold,42 BSR,$1240.00,$1550.00,Available,https://nidhiratna.com/products/42-buddha-shakyamuni-gautama-buddha-statue,2025-06-06
Vajrasattva : The Deity of Purification,43 VSR,,,Sold Out,https://nidhiratna.com/products/43-vajrasattva-bodhisattva-statue,2025-06-06
Golden Enlightenment: The Buddha in 24K Gold,44 BSR,,,Sold Out,https://nidhiratna.com/products/44-shakyamuni-gautama-buddha-statue,2025-06-06
Vajrasattva : The Purification and Restoration of Vows,45 VSR,,,Sold Out,https://nidhiratna.com/products/vajrasattva-deity-of-purification-statue-dorje-sempa,2025-06-06
Beautiful Handcrafted Buddha Sakyamuni Statue,46 BSR,$904.00,$1130.00,Available,https://nidhiratna.com/products/buddha-shakyamuni-buddha-statue,2025-06-06
Amitabha Buddha : The Infinite Shining One,ABR 47,$904.00,$1130.00,Available,https://nidhiratna.com/products/47-amitabha-buddha-statue-buddhist-statue,2025-06-06
Siddhartha Gautama Statue | Beautiful Handcrafted Buddhist Statue,48 BSR,$1072.00,$1340.00,Available,https://nidhiratna.com/products/handcrafted-buddhist-statue-siddhartha-gautama,2025-06-06
Manjushri : The Bodhisattva of Wisdom,49 MSR,,,Sold Out,https://nidhiratna.com/products/49-manjushri-deity-of-wisdom-bodhisattva,2025-06-06
Golden Radiance and Timeless Wisdom: The Medicine Buddha in Gold,52 MBR,,,Sold Out,https://nidhiratna.com/products/medicine-buddha-in-gold-statue,2025-06-06
White Tara : The Mother of Compassion,50 WTR,$820.00,$1025.00,Available,https://nidhiratna.com/products/50-white-tara-mother-tara-statue,2025-06-06
Shakyamuni Buddha : Bask in the Brilliance of Spiritual Illumination,53 BSR,$1324.00,$1655.00,Available,https://nidhiratna.com/products/shakyamuni-buddha-statue-gautamabuddha,2025-06-06
Amitabha Buddha : The Buddha of the Western Pure Land,ABR 54,,,Sold Out,https://nidhiratna.com/products/amitabha-buddha-statue-buddha,2025-06-06
Tsongkhapa Triad: Three Unique Expressions,55 TKR,,,Sold Out,https://nidhiratna.com/products/tsongkhapa-triad-three-unique-expressions,2025-06-06
Mahakala Bernagchen: Guardian of the Sacred Path,MKBR 56,$820.00,$1025.00,Available,https://nidhiratna.com/products/mahakala-bernagchen-guardian-of-the-sacred-path,2025-06-06
Radiant Majesty: The Crowned Shakyamuni Buddha in Gold,57 CBSR,$820.00,$1025.00,Available,https://nidhiratna.com/products/crowned-buddha-shakyamuni-buddha-statue,2025-06-06
Medicine Buddha : The Healing Radiance,58 MBR,,,Sold Out,https://nidhiratna.com/products/medicine-buddha-healing-buddha-1,2025-06-06
"Triumphant Grace: Namgyalma, the Three-Faced Goddess",59 NGR,,,Sold Out,https://nidhiratna.com/products/namgyalma-the-three-faced-goddess-statuess,2025-06-06
