Link,Sale_Price,Regular_Price
https://nidhiratna.com/products/green-tara-statue-gold,,
https://nidhiratna.com/products/buddha-shakyamuni-gold,,
https://nidhiratna.com/products/gold-gilded-guru-rinpoche-statue-1,$852.00,$1065.00
https://nidhiratna.com/products/amitayus-buddha-sculpture,$832.00,$1040.00
https://nidhiratna.com/products/shakyamuni-buddha-siddhartha-gautam,,
https://nidhiratna.com/products/shakyamuni-buddha-statue-3,$2180.00,$2725.00
https://nidhiratna.com/products/divine-mother-tara,,
